;SbjNum;Srvyr;Duration;Latitude;Longitude;Date;CODE;MUN;SEXO;ANO_NASC;IDADE;FAIXA_ETARIA;PEA1;PEA2;PEA3;PEA_4;EXP_1_A;EXP_1_B;Q47;EXP_1_C;EXP_1_D;Q48;EXP_1_E;EXP_1_F;Q49;EXP_2_A;EXP_2_B;Q50;EXP_3_1_A;EXP_3_1_B;EXP_3_1_C;EXP_3_1_D;EXP_3_1_E;EXP_3_1_F;EXP_3_1_G;EXP_3_1_H;Q51A;EXP_3_1_I;EXP_3_1_J;EXP_3_1_K;EXP_3_1_L;EXP_3_1_M;EXP_3_1_N;EXP_3_1_O;EXP_3_1_P;Q51B;Q1;T_Q2_1;T_Q2_2;T_Q3_1;T_Q3_2;T_Q4_1;T_Q4_2;T_Q5_1;T_Q5_2;T_Q5_3;T_Q5_4;T_Q5_5;T_Q5_6;T_Q5_7;T_Q5_8;T_Q5_9;T_Q5_10;T_Q5_11;T_Q5_12;Q6;Q7;Q8;T_Q9_1;T_Q9_2;T_Q9_3;T_Q9_4;T_Q9_5;T_Q9_6;T_Q9_7;T_Q9_8;T_Q9_9;T_Q9_10;Q10;Q10_S;T_Q11_1;T_Q11_2;T_Q11_3;T_Q11_4;T_Q11_5;EXP_3_2_A;EXP_3_2_B;EXP_3_2_C;EXP_3_2_D;EXP_3_2_E;EXP_3_2_F;EXP_3_2_G;EXP_3_2_H;Q52A;EXP_3_2_I;EXP_3_2_J;EXP_3_2_K;EXP_3_2_L;EXP_3_2_M;EXP_3_2_N;EXP_3_2_O;EXP_3_2_P;Q52B;T_Q12_1;T_Q12_2;T_Q12_3;Q13;T_Q14_1;T_Q14_2;T_Q14_3;T_Q14_4;T_Q14_5;T_Q14_6;T_Q14_7;T_Q14_8;T_Q14_9;T_Q14_10;T_Q14_11;T_Q14_12;T_Q14_13;T_Q14_14;T_Q14_15;T_Q14_16;Q15;Q15_S;Q16;T_Q17_1;T_Q17_2;Q18;T_Q19_1;T_Q19_2;T_Q19_3;T_Q19_4;T_Q19_5;T_Q20_1;T_Q20_2;T_Q20_3;T_Q20_4;T_Q20_5;T_Q21_1;T_Q21_2;T_Q21_3;T_Q21_4;T_Q21_5;T_Q21_6;T_Q21_7;T_Q21_8;EXP_3_3_A;EXP_3_3_B;EXP_3_3_C;EXP_3_3_D;EXP_3_3_E;EXP_3_3_F;EXP_3_3_G;EXP_3_3_H;Q53A;EXP_3_3_I;EXP_3_3_J;EXP_3_3_K;EXP_3_3_L;EXP_3_3_M;EXP_3_3_N;EXP_3_3_O;EXP_3_3_P;Q53B;T_Q22_1;T_Q22_2;T_Q22_3;T_Q22_4;T_Q22_5;T_Q22_6;T_Q22_7;Q23;T_Q24_1;T_Q24_2;T_Q24_3;T_Q24_4;T_Q24_5;T_Q24_6;T_Q24_7;T_Q24_8;Q25;T_Q26_1;T_Q26_2;T_Q27_1;T_Q27_2;Q28A;Q28B;Q28C;Q28D;Q28E;Q28F;Q28G;Q28H;Q28I;Q28J;Q28K;T_Q29_1;T_Q29_2;T_Q29_3;T_Q29_4;T_Q29_5;T_Q29_6;T_Q29_7;T_Q29_8;T_Q29_9;T_Q29_10;T_Q29_11;T_Q30_1;T_Q30_2;T_Q31_1;T_Q31_1_Q_131_S;T_Q31_2;T_Q31_2_Q_131_S;Q32;T_Q33_1;T_Q33_2;T_Q33_3;T_Q33_4;T_Q33_5;T_Q34_1;T_Q34_2;T_Q34_3;T_Q34_4;T_Q34_5;T_Q34_6;T_Q34_7;T_Q34_8;T_Q34_9;T_Q34_10;T_Q34_11;T_Q34_12;T_Q34_13;T_Q35_1;T_Q35_2;T_Q35_3;T_Q35_4;Q36;T_Q37_1;T_Q37_2;T_Q37_3;T_Q37_4;T_Q37_5;T_Q37_6;T_Q37_7;Q38;Q38_S;T_Q39_1;T_Q39_1_Q39_S;T_Q39_2;T_Q39_2_Q39_S;T_Q40_1;T_Q40_2;T_Q40_3
1;85157539;mariaisabel;00:54:46;-205.223.364;-546.041.943;2019-01-25;500270405110023;12;2;1967;51;6;6;2;2;NA;2;2;1;5;5;4;1;1;1;2;2;1;4;2;-1;NA;-1;NA;-1;NA;NA;1;1;1;1;1;1;4;4;1;3;1;4;4;1;1;1;3;1;1;1;1;1;1;1;1;1;3;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;1;1;1;1;1;1;1;2;2;2;2;3;3;1;-1;NA;-1;NA;-1;NA;-1;NA;NA;3;3;2;1;1;1;1;1;1;1;3;1;1;4;1;1;1;1;1;1;11;;1;1;1;2;2;1;1;1;1;4;1;1;1;1;1;1;2;2;1;2;2;1;3;2;-1;NA;-1;NA;-1;NA;NA;3;3;2;2;1;1;4;4;2;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;2;1;1;1;1;100;-3;70;100;100;50;70;90;90;90;1;1;1;1;4;1;1;1;1;3;1;1;1;4;2;;5;;2;1;4;1;4;4;2;3;3;3;3;3;2;2;3;2;2;1;2;2;1;2;2;1;1;1;1;1;1;1;1;2;;2;;3;;4;4;4
2;85157711;davidsonpereira;00:53:11;-205.227.251;-546.040.261;2019-01-25;500270405110023;12;1;1961;57;6;5;NA;2;NA;1;1;2;5;5;1;1;1;2;4;4;3;1;1;3;3;2;2;2;2;1;-1;NA;-1;NA;-1;NA;-1;NA;NA;2;2;3;3;2;1;1;1;2;2;1;1;2;1;1;1;1;1;1;2;2;1;2;2;2;2;3;2;2;3;2;3;2;;1;1;1;2;1;4;2;-1;NA;-1;NA;-1;NA;NA;1;1;3;3;1;1;2;2;3;3;3;3;1;2;1;2;1;2;2;2;1;1;2;1;1;2;1;1;2;16;;1;2;1;2;2;3;1;2;2;2;2;2;3;1;2;1;2;2;2;2;2;1;2;2;-1;NA;-1;NA;-1;NA;NA;3;3;1;1;1;1;4;4;2;4;4;2;2;2;4;5;2;4;4;4;4;4;4;4;4;2;2;2;2;2;8;7;7;7;7;7;6;6;5;7;7;2;2;2;2;2;2;2;1;2;2;2;3;3;3;;2;;2;1;3;2;4;4;3;3;3;3;3;1;3;2;2;1;3;2;1;2;1;2;1;2;2;1;1;1;1;1;1;2;;2;;3;;4;2;1
3;85159083;ronervalrodrigues;00:51:23;-14.284.676;-484.613.177;2019-01-25;150140205000149;6;2;1963;55;6;1;NA;1;6;3;3;1;1;1;1;5;5;2;6;6;1;1;1;3;3;3;3;3;3;2;-1;NA;-1;NA;-1;NA;-1;NA;NA;1;1;1;2;1;1;2;3;1;1;1;1;1;1;1;1;1;2;1;2;1;1;2;2;3;2;2;2;2;2;2;3;2;;2;1;1;1;1;1;1;1;1;2;2;2;2;2;-1;NA;-1;NA;-1;NA;-1;NA;NA;1;3;2;1;1;1;2;1;2;1;1;2;1;2;1;1;1;1;1;1;7;;1;1;1;2;1;2;2;1;1;2;1;1;1;1;1;1;2;2;1;2;2;1;5;2;-1;NA;-1;NA;-1;NA;NA;1;1;2;2;3;3;2;2;2;4;5;4;5;5;4;4;1;4;3;4;3;3;3;3;4;2;2;2;1;1;100;0;0;100;0;0;100;0;100;100;0;1;1;1;4;2;2;1;4;4;1;2;2;4;2;;1;;2;1;1;2;1;2;3;3;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;5;1;1;1;1;1;1;1;2;;2;;3;;4;1;2
4;85162030;mariaisabel;00:59:53;-205.215.141;-546.048.485;2019-01-25;500270405110023;12;1;1980;38;4;1;NA;1;6;1;1;1;5;5;3;5;5;1;5;5;1;5;2;-1;NA;-1;NA;-1;NA;NA;1;1;2;2;1;1;4;4;2;1;1;1;4;1;1;2;1;1;1;1;1;1;4;1;1;1;3;1;2;3;1;2;2;2;2;2;2;2;2;2;3;2;;4;1;1;3;4;1;1;3;3;2;2;3;3;3;-1;NA;-1;NA;-1;NA;-1;NA;NA;2;3;3;1;2;1;1;1;1;1;1;3;3;1;1;1;1;1;1;1;10;;1;2;1;5;2;1;4;1;2;3;2;2;2;2;1;1;2;2;1;2;2;1;4;2;-1;NA;-1;NA;-1;NA;NA;1;1;3;3;2;2;3;3;3;2;2;2;4;2;1;2;2;3;3;3;3;3;3;3;3;2;2;2;4;1;80;40;40;50;80;50;50;40;40;40;40;2;2;4;2;2;1;2;2;2;1;2;2;3;4;;1;;2;3;3;2;3;2;3;3;2;1;3;3;3;2;2;2;1;3;1;2;1;2;2;10;1;1;1;2;1;4;1;2;;2;;1;;4;2;4
5;85163547;ronervalrodrigues;00:51:59;-14.281.432;-48.462.396;2019-01-25;150140205000149;6;2;1945;73;7;5;NA;2;NA;3;3;4;3;3;4;2;2;4;3;3;2;4;2;-1;NA;-1;NA;-1;NA;NA;1;1;2;2;1;1;2;2;1;1;2;2;4;2;1;1;2;1;1;1;1;1;1;1;1;2;2;1;3;3;1;2;2;3;2;3;3;2;3;2;4;1;;1;1;1;1;1;3;2;-1;NA;-1;NA;-1;NA;NA;2;2;2;2;2;2;3;3;1;1;3;3;1;2;2;2;1;2;2;1;2;2;1;1;1;1;1;2;2;8;;1;1;1;1;1;4;2;2;4;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1;2;2;2;2;2;2;1;-1;NA;-1;NA;-1;NA;-1;NA;NA;4;2;4;4;4;4;4;3;4;4;4;4;4;4;4;4;2;2;2;1;1;50;0;0;50;50;50;50;0;50;50;0;2;2;3;3;3;2;1;3;3;1;1;2;1;4;;5;;3;1;1;2;1;4;3;3;3;3;3;3;2;3;2;2;2;2;1;2;1;2;1;2;1;1;1;1;1;1;1;2;;1;;3;;4;4;4
6;85163561;davidsonpereira;00:52:23;-205.213.883;-546.049.967;2019-01-25;500270405110023;12;2;2001;16;2;1;NA;1;5;2;2;2;3;3;4;3;3;1;8;8;2;2;2;-1;NA;-1;NA;-1;NA;NA;3;3;2;2;3;3;2;2;2;1;3;2;2;3;1;1;2;1;1;1;1;1;1;2;1;2;2;1;2;2;1;2;1;3;2;2;2;2;2;2;2;2;;1;1;1;1;1;1;1;1;1;2;2;3;3;2;-1;NA;-1;NA;-1;NA;-1;NA;NA;3;3;3;1;2;2;2;2;2;2;1;1;2;1;1;3;1;1;2;2;9;;1;1;1;1;2;2;2;2;2;1;3;2;1;2;1;1;2;2;1;2;1;1;5;2;-1;NA;-1;NA;-1;NA;NA;2;2;3;3;3;3;1;1;2;4;4;4;4;2;4;4;2;2;4;2;4;4;4;1;4;1;2;1;1;1;80;70;40;60;90;70;90;60;50;30;50;1;2;2;1;2;1;2;2;2;1;2;4;3;2;;1;;2;2;1;2;4;1;3;2;3;2;2;3;1;3;1;3;3;2;3;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;;3;;2;1;3
7;85166342;cybellibertoloti;00:38:21;-300.085.135;-511.508.701;2019-01-25;431490205001785;34;1;1953;65;7;5;NA;2;NA;5;5;1;2;2;1;4;4;1;5;5;1;4;2;-1;NA;-1;NA;-1;NA;NA;3;3;3;3;2;2;3;3;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;;1;1;1;1;1;1;1;3;3;1;1;1;1;2;-1;NA;-1;NA;-1;NA;-1;NA;NA;2;3;3;1;2;1;2;1;2;2;1;1;1;3;1;2;2;1;1;1;9;;2;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;2;2;1;4;2;-1;NA;-1;NA;-1;NA;NA;2;2;1;1;2;2;3;3;2;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;2;1;1;1;1;100;90;100;100;100;80;90;90;30;70;90;1;1;1;2;1;2;1;2;2;2;1;1;4;2;;5;;2;1;1;1;4;1;3;3;3;3;3;3;3;3;3;3;3;3;3;1;1;1;1;2;1;1;1;1;1;1;1;2;;2;;1;;4;1;4
8;85166343;cybellibertoloti;01:12:58;-300.074.056;-511.511.109;2019-01-25;431490205001785;34;2;1939;79;7;5;NA;2;NA;4;4;3;5;5;3;3;3;5;2;2;2;4;2;-1;NA;-1;NA;-1;NA;NA;1;1;1;1;3;3;2;2;2;1;1;1;1;1;2;2;2;3;4;2;5;2;2;3;2;3;3;3;1;1;3;1;2;2;2;2;2;1;3;3;2;2;;1;2;4;2;2;4;2;-1;NA;-1;NA;-1;NA;NA;2;2;1;1;2;2;4;4;2;1;3;2;1;4;2;1;2;2;2;2;2;2;4;2;2;2;2;2;2;15;;1;1;1;2;4;1;5;2;5;4;1;1;1;1;1;1;1;2;2;2;2;1;4;2;-1;NA;-1;NA;-1;NA;NA;2;2;1;1;1;1;1;1;3;5;4;4;4;1;5;5;1;4;4;4;4;4;4;2;4;2;2;2;1;1;60;60;30;60;60;60;80;60;30;70;50;1;1;3;1;1;1;1;1;3;1;1;1;1;9;;1;;2;3;3;2;3;2;4;4;4;4;3;2;2;1;1;1;1;4;4;2;2;2;2;2;1;1;1;1;1;1;1;2;;2;;1;;1;1;1
9;85166344;cybellibertoloti;00:26:48;-300.069.728;-511.504.568;2019-01-25;431490205001785;34;2;1976;42;5;1;NA;1;3;4;4;2;2;2;3;5;5;2;7;7;2;5;2;-1;NA;-1;NA;-1;NA;NA;3;3;1;1;2;2;3;3;2;1;1;1;2;1;1;1;2;2;1;1;1;3;3;1;1;2;1;2;1;2;3;1;2;2;2;2;2;1;2;1;2;5;;2;2;4;3;1;5;2;-1;NA;-1;NA;-1;NA;NA;3;3;3;3;1;1;4;4;2;1;1;1;1;3;1;1;1;1;2;2;2;2;1;1;1;1;1;2;1;14;;2;2;1;2;3;2;3;2;2;2;1;1;1;2;1;1;2;2;1;2;1;2;5;2;-1;NA;-1;NA;-1;NA;NA;3;3;1;1;2;2;1;1;2;4;4;4;4;4;4;4;2;3;2;2;2;2;2;2;2;1;2;2;1;1;70;60;60;90;70;60;60;60;60;60;20;1;2;2;3;1;1;2;2;3;2;1;2;3;3;;5;;2;1;3;1;2;2;3;3;3;3;3;3;2;3;3;3;3;2;3;2;1;1;1;3;1;1;1;2;1;1;1;2;;2;;1;;1;2;4
10;85169157;mariaisabel;01:17:10;-205.220.069;-546.050.961;2019-01-25;500270405110023;12;1;1970;48;5;1;NA;1;7;5;5;1;5;5;1;1;1;1;7;7;2;3;2;-1;NA;-1;NA;-1;NA;NA;1;1;1;1;1;1;2;2;2;2;1;3;4;1;1;2;1;1;1;1;1;1;1;1;1;5;1;1;2;3;1;2;3;3;3;3;3;2;2;2;3;2;;2;1;2;1;1;5;2;-1;NA;-1;NA;-1;NA;NA;1;1;2;2;3;3;3;3;3;3;3;2;1;5;2;2;6;5;5;2;2;1;2;1;2;2;1;2;2;14;;2;1;1;1;2;2;4;4;2;1;5;1;1;3;1;1;2;2;1;3;3;1;3;2;-1;NA;-1;NA;-1;NA;NA;2;2;3;3;2;2;1;1;3;4;4;4;4;4;4;4;2;3;4;4;4;4;4;4;4;1;2;2;1;1;-2;-2;-2;100;-2;-2;50;0;-2;-2;30;1;5;3;5;4;5;5;5;5;4;5;2;5;7;;2;;3;4;4;1;4;1;3;2;2;2;2;2;4;2;2;2;4;2;4;2;2;2;2;8;3;1;1;1;2;1;1;5;;2;;3;;4;1;5
